plant,A,Qin
hosta,3.296725682,1500.017097
hosta,3.232074513,1200.006774
hosta,3.11671603,900.0049032
hosta,2.962251311,599.9979032
hosta,2.536830482,300.0053871
hosta,1.731636399,150.0002903
hosta,1.229890529,99.98920645
hosta,0.542467025,49.99844516
hosta,-0.283857154,0
lily,3.852219333,1500.008065
lily,3.799271478,1200.000645
lily,3.662423328,900.0143548
lily,3.353832333,600.0029355
lily,2.615261949,299.9982903
lily,1.584288123,149.992129
lily,1.076593479,100.0176
lily,0.358683515,49.98799355
lily,-0.369610736,0
pial,8.673875226,2400.012333
pial,8.783031375,2000.011333
pial,8.942971963,1799.996667
pial,8.674338923,1500.006129
pial,9.0682141,1199.985333
pial,8.477740694,899.9945333
pial,8.216823978,600.0182258
pial,6.667147014,299.9945333
pial,4.689647022,149.9968667
pial,3.187856734,100.0110867
pial,1.62915743,50.00268667
pial,-0.572988733,0
pial,8.925941845,2399.96871
pifl,12.09252815,2399.985
pifl,11.45113963,1999.992
pifl,11.60758859,1800.001333
pifl,10.75776544,1499.979667
pifl,10.75275388,1200.005
pifl,10.52968334,899.9926333
pifl,9.444990967,599.9954333
pifl,7.508573916,299.9981333
pifl,5.159244304,149.9925161
pifl,3.634618138,100.00529
pifl,1.587521115,49.99321667
pifl,-0.922417642,0
pifl,10.84187316,2399.972
pilo,10.19750313,2400.004194
pilo,10.01422804,1999.997333
pilo,9.679066126,1800.015484
pilo,9.821937046,1499.983333
pilo,9.533933613,1200.027333
pilo,9.171411907,899.9946
pilo,8.491754169,599.9908
pilo,6.971191031,299.9845333
pilo,4.3031507,149.9906667
pilo,3.864064733,100.00513
pilo,1.889937233,49.99406129
pilo,-0.318347634,0
pilo,8.439376777,2399.994
